id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Henri;Rohan;Rae_Marvin41@yahoo.com;incentivize;2019-05-17T09:46:05;58054;34080
2;Sandra;Waters;Ryann_Ferry@yahoo.com;application Configurable iterate;2019-05-17T15:34:41;50525;49656
3;Reymundo;Howell;Eli38@gmail.com;Industrial;2019-05-17T06:40:22;84714;9128
4;Finn;Hamill;Valentin.Padberg57@hotmail.com;deposit Common;2019-05-17T21:21:53;60244;32866
5;Kay;Osinski;Nia_West78@gmail.com;Unbranded;2019-05-17T16:32:09;97424;5755
6;Zella;Lowe;Ila_Rippin35@gmail.com;Frozen Metal program;2019-05-17T13:33:53;86686;10112
7;Roel;Boehm;May39@yahoo.com;International Steel Avon;2019-05-17T22:48:16;98663;58130
8;Garnet;Stracke;Shania94@yahoo.com;Planner navigate repurpose;2019-05-18T02:23:52;48166;77714
9;Gayle;Lynch;Henry.Franecki11@hotmail.com;Bedfordshire Tools;2019-05-17T17:09:15;57147;5630
10;Nannie;Carter;Bill_Senger@hotmail.com;Naira Versatile seize;2019-05-17T16:56:12;28571;8289
